epoch,train_loss,val_loss,val_auc
1.0,0.1596245642987617,0.17406698689416059,0.9891539124431162
2.0,0.08906826514997601,0.09223909870701644,0.9879348488895384
3.0,0.06410518433112095,0.10780071038685407,0.9919513584067006
4.0,0.05460698164609251,0.11722378732750363,0.9893559978027627
5.0,0.04420262107037803,0.07057539760898582,0.986505636720069
6.0,0.035293620024161296,0.08624003095390137,0.9903341715760139
7.0,0.034922531192746735,0.07470662594702272,0.9891095645337674
8.0,0.03105171833155486,0.08039771769368245,0.9896888590996367
9.0,0.02735358807579163,0.08928567630555113,0.9817420161164334
10.0,0.026540129120751713,0.06276500785161526,0.9930076449748275
11.0,0.02257643421639622,0.07974826324193698,0.9907277592714848
12.0,0.02225525325442631,0.09375328387437326,0.9889301570823107
13.0,0.02056698868248126,0.06960161817100041,0.9930076449748275
14.0,0.01959033747354657,0.07004229575618709,0.9890105376680055
15.0,0.01989902053773434,0.07277152252371633,0.9891408096517177
